Time,Settlement Period,Day of Week,Predicted_load
2016-01-05 11:30:00,24.0,1,34938.2552830043
2016-01-05 12:00:00,25.0,1,34938.2552830043
2016-01-05 12:30:00,26.0,1,34938.2552830043
2016-01-05 13:00:00,27.0,1,34938.2552830043
2016-01-05 13:30:00,28.0,1,34938.2552830043
2016-01-05 14:00:00,29.0,1,34938.2552830043
2016-01-05 14:30:00,30.0,1,34938.2552830043
2016-01-05 15:00:00,31.0,1,34938.2552830043
2016-01-05 15:30:00,32.0,1,34938.2552830043
2016-01-05 16:00:00,33.0,1,34938.2552830043
2016-01-05 16:30:00,34.0,1,34938.2552830043
2016-01-05 17:00:00,35.0,1,34938.2552830043
2016-01-05 17:30:00,36.0,1,34938.2552830043
2016-01-05 18:00:00,37.0,1,34938.2552830043
2016-01-05 18:30:00,38.0,1,34938.2552830043
2016-01-05 19:00:00,39.0,1,34938.2552830043
2016-01-05 19:30:00,40.0,1,34938.2552830043
2016-01-05 20:00:00,41.0,1,34938.2552830043
2016-01-05 20:30:00,42.0,1,34938.2552830043
2016-01-05 21:00:00,43.0,1,34938.2552830043
2016-01-05 21:30:00,44.0,1,34938.2552830043
2016-01-05 22:00:00,45.0,1,34938.2552830043
2016-01-05 22:30:00,46.0,1,34938.2552830043
2016-01-05 23:00:00,47.0,1,34938.2552830043
2016-01-05 23:30:00,48.0,1,34938.2552830043
2016-01-06 00:00:00,1.0,2,34938.2552830043
2016-01-06 00:30:00,2.0,2,34938.2552830043
2016-01-06 01:00:00,3.0,2,34938.2552830043
2016-01-06 01:30:00,4.0,2,34938.2552830043
2016-01-06 02:00:00,5.0,2,34938.2552830043
2016-01-06 02:30:00,6.0,2,34938.2552830043
2016-01-06 03:00:00,7.0,2,34938.2552830043
2016-01-06 03:30:00,8.0,2,34938.2552830043
2016-01-06 04:00:00,9.0,2,34938.2552830043
2016-01-06 04:30:00,10.0,2,34938.2552830043
2016-01-06 05:00:00,11.0,2,34938.2552830043
2016-01-06 05:30:00,12.0,2,34938.2552830043
2016-01-06 06:00:00,13.0,2,34938.2552830043
2016-01-06 06:30:00,14.0,2,34938.2552830043
2016-01-06 07:00:00,15.0,2,34938.2552830043
2016-01-06 07:30:00,16.0,2,34938.2552830043
2016-01-06 08:00:00,17.0,2,34938.2552830043
2016-01-06 08:30:00,18.0,2,34938.2552830043
2016-01-06 09:00:00,19.0,2,34938.2552830043
2016-01-06 09:30:00,20.0,2,34938.2552830043
2016-01-06 10:00:00,21.0,2,34938.2552830043
2016-01-06 10:30:00,22.0,2,34938.2552830043
